id,title,style,soundcloud,youtube,track_count,track_id
c8prw1k,Chuckie - Dirty Dutch Radio 148 2016-03-18,"House, Electro House, Progressive House",['254192678'],[],15,"['1xq9p5t5', '2gj41ffp', '1yp58w4p', '1kndfzbx', '2umgd94f', '1q9bw855', '23bmbs8p', '20k9hbyp', '7s8rxw5', '1b620fbp', '2qvl1zlp', 'tf09u7x', 'bjrs335', '1mhgs7u5', 'ns73gh5']"
250kpvl1,Arisen Flame - Fireball Podcast 008 2016-05-18,"Electro House, Progressive House",['263368027'],[],18,"['16h0sfgp', 'kz6mb9x', '1r7bszqp', '1u0wx8mf', 'qn6lhlp', 'w6drdgx', 'tfm0blx', '1nfuqq4f', '15jt5trx', 'rl2980p', '12rmxpbf', '27zqt07f', '1vw9zzkf', '1s4urnzp', '1ng0yzb5', '2k9q8h65', '26411tnf', '1b5thsr5']"
88s5929,Bassjackers - JackinDaBass Radio 078 2015-08-14,"House, Electro House, Progressive House",[],['6rCL03EHIZk'],15,"['j2jpyvx', '1s3tdv9f', '29u9cy8f', '270vfcpx', '1hqzr63f', '2tnuglv5', '1s3r63mx', 'yzdbhxf', '1zlgr9cp', '1q8flgdp', '1q8dlqsp', 'cfjktg5', '20j5wljx', '1fw335p5', '2cpxc4vp']"
3jbrrn1,Lucien Foort - Infinity Radio 050 2015-02-08,"Tech House, Deep House",['190069697'],[],10,"['6hl79mf', '14kdqhtx', '2ptyj8dp', '1dxmsr95', 'v6yt1np', '1czu35sf', '2br1ytvf', 'x27slbx', '14k3c5px', 'u6csnr5']"
lrm8dut,Paul Mayson - Run EP 2016-10-12,"House, Electro House, Deep House",[],['BOsvj58ab4Y'],4,"['2wj6t7gf', '1kp95f6x', '1xss03gx', 'qp38qdp']"
4z0pjt1,"Fisherman & Hawkins @ Papaya Stage, Luminosity Beach Festival, Fuel Beachclub Bloemendaal, Netherlands 2013-08-17","Trance, Progressive House",[],['UIw-bIV6mPk'],12,"['pku7fpp', '1wswjs6f', '14gn9w5x', '1cwr8jpx', 'w1vfcpx', 'xx97hnp', '11qn8jf', '2m0h81t5', '2gch6p75', '2h9dsu1p', 'v3d7htf', '1jkvpd4f']"
3tsrjut,Fedde Le Grand - Summer Tour 2015 Recap 2015-09-11,Progressive House,[],['GqxrFCS2ecM'],4,"['cfq8b8f', '2m4h5vrp', '2vjq836x', '2tpcs0tx']"
1240z89,"Borgore @ Hype (Groove) Buenos Aires, Argentina 2013-12-13","Drum & Bass, Dubstep, Electro House, Trap",[],['9O7YsKsIm_A'],20,"['h1144gp', '10qwd0sp', '2bmqz665', '44duxdp', '3bj3j9p', '5pjg7p5', '1fsx681p', '2ktfn4p', '3jwz5kp', '2wbux1lx', '2gstczx', '4nwlkq5', '3dh6sjf', '5kwuxrf', '1nby69qx', '7j9kfs5', 'kuyjppp', '14d8tsx', '9gfwl3p', '6pvmcl5']"
2f44qu1,"Above & Beyond @ Anjunadeep ABGT 150 Afterparty, Pacha Sydney, Australia 2015-09-27",Deep House,['228511248'],[],12,"['261t9d95', 'j1t2nyf', '2nzqh80f', 'dc9d4v5', '2fkqc3zx', '260r507f', '1b30cyx5', 'qkrg6d5', '1dvnnby5', 'bhyfy9f', '13nd24yp', '1ynnmyfx']"
6gvjwhk,Sander van Doorn - Identity (Best of 2013 Special) 214 2013-12-27,"House, Electro House, Progressive House",[],['ALWrsiuSVlk'],17,"['wzrm9h5', '16bszr5x', '2gbyb1ff', 'w214f3f', '59rdk3x', 'jw73ynx', 'hyzqhkx', '2vd5kkhf', '2rp67j0x', '2l2cbh65', '2tj71dnx', '27txj6kp', '2ckj3d1p', '2ffz8hl5', '178038wp', '2nw02np5', '2m0nmj3p']"
